Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Lufttemperatur 2m / Grad Celsius / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Rünenberg	611	2633252 / 1253846	01.1961-12.1990	-0.6	0.9	3.9	7.2	11.4	14.6	16.9	16.3	13.6	9.3	3.9	0.8	8.2
S. Bernardino	1638	2734116 / 1147293	01.1961-12.1990	-4.3	-4.2	-2.0	1.1	5.3	9.5	12.2	11.5	8.9	4.9	-0.4	-3.3	3.3
Salen-Reutenen	718	2719100 / 1279046	01.1961-12.1990	-1.6	-0.4	2.8	6.6	11.0	14.2	16.4	15.8	12.9	8.3	2.8	-0.5	7.4
Samedan	1708	2787250 / 1155684	01.1961-12.1990	-8.7	-7.4	-4.1	0.1	5.1	8.8	11.0	10.4	7.7	3.1	-3.3	-8.0	1.2
Schaffhausen	438	2688703 / 1282803	01.1961-12.1990	-0.9	0.9	4.5	8.3	12.6	15.7	17.9	17.1	14.0	9.0	3.5	0.2	8.6
Scuol	1303	2817138 / 1186393	01.1961-12.1990	-5.0	-3.3	0.4	4.4	8.8	11.9	14.2	13.5	10.9	6.2	-0.1	-4.3	4.8
Segl-Maria	1804	2778576 / 1144976	01.1961-12.1990	-7.5	-6.8	-4.1	-0.4	4.2	8.0	10.5	10.1	7.6	3.4	-2.2	-6.0	1.4
Sion	482	2591632 / 1118583	01.1961-12.1990	-0.8	1.6	5.3	9.4	13.7	17.0	19.1	17.9	14.6	9.5	3.4	-0.4	9.2
St. Gallen	775	2747865 / 1254587	01.1961-12.1990	-0.9	-0.1	2.8	6.1	10.5	13.6	15.9	15.3	12.8	8.5	3.5	0.1	7.3
Sta. Maria, Val Müstair	1386	2828862 / 1165579	01.1961-12.1990	-3.5	-2.4	0.5	4.1	8.6	12.1	14.3	13.6	10.9	6.4	0.8	-2.6	5.2
Stabio	351	2716048 / 1077971	01.1961-12.1990	0.4	2.1	6.0	10.1	14.0	17.6	20.1	19.1	15.8	11.0	5.2	1.3	10.2
Säntis	2501	2744188 / 1234920	01.1961-12.1990	-7.9	-8.1	-7.1	-4.7	-0.5	2.4	4.9	4.8	3.3	0.8	-4.3	-6.6	-1.9
Ulrichen	1345	2666747 / 1150766	01.1961-12.1990	-7.2	-5.6	-2.0	1.9	7.1	11.0	13.4	12.6	9.6	4.7	-1.7	-6.3	3.1
Vaduz	457	2757723 / 1221699	01.1961-12.1990	0.2	1.8	5.5	9.0	13.4	16.0	17.9	17.4	14.7	10.4	5.0	1.1	9.4
Visp	639	2631150 / 1128024	01.1961-12.1990	-1.7	0.8	4.8	8.8	13.1	16.2	18.3	17.4	14.3	9.2	3.0	-1.3	8.6
Weissfluhjoch	2691	2780615 / 1189634	01.1961-12.1990	-8.9	-9.2	-8.1	-5.6	-1.1	2.1	4.9	4.9	3.2	0.3	-4.9	-7.5	-2.5
Wynau	421	2626405 / 1233849	01.1961-12.1990	-0.7	0.7	3.8	7.6	12.0	15.4	17.5	16.7	13.6	8.9	3.7	0.3	8.3
Wädenswil	485	2693847 / 1230744	01.1961-12.1990	-0.4	1.0	4.2	8.1	12.4	15.7	18.0	17.0	14.2	9.5	4.3	0.7	8.7
Zermatt	1638	2624297 / 1097574	01.1961-12.1990	-4.8	-4.1	-1.6	1.9	6.5	9.7	12.3	11.5	8.8	4.8	-0.8	-3.8	3.4
Zürich / Affoltern	443	2681433 / 1253547	01.1961-12.1990	-0.6	0.8	4.2	8.0	12.4	15.6	17.8	16.9	13.8	9.1	3.9	0.5	8.5
Zürich / Fluntern	555	2685117 / 1248065	01.1961-12.1990	-0.5	0.9	4.2	7.8	12.1	15.2	17.6	16.7	13.8	9.3	3.9	0.6	8.5
Zürich / Kloten	426	2682711 / 1259338	01.1961-12.1990	-0.8	0.6	4.1	8.0	12.4	15.7	17.8	17.0	13.9	9.1	3.7	0.4	8.5

