stn;time;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;ure200mn
SAE;201104;4.4;234;752.7;7.7;-11.4;-0.5;24;56.4;75.1;297;222.3;57;3.7;56;16.2
SAE;201105;5.8;254;755.3;12.2;-6.9;2.4;28;192.7;80.2;203;207.8;46;3.7;67;2.7
SAE;201106;7.4;223;755.4;16.0;-3.3;4.3;4;318.8;89.1;56;130.9;29;5.0;80;10.7
SAE;201107;7.0;201;752.7;15.8;-3.8;3.8;6;304.0;86.8;0;130.0;28;4.4;80;2.9
SAE;201108;8.1;227;757.1;20.5;-2.3;8.0;1;185.5;76.7;0;231.4;55;6.0;52;3.2
SAE;201109;7.0;172;757.4;15.5;-5.5;6.3;11;195.8;73.7;1;200.3;56;5.8;50;13.7
SAE;201110;3.7;133;755.1;12.3;-10.1;1.8;60;238.0;54.5;9;219.9;66;5.5;42;2.8
SAE;201111;3.0;86;754.2;7.9;-5.2;1.4;0;0.0;46.2;0;200.8;73;4.9;37;2.5
SAE;201112;3.2;37;746.8;3.9;-17.4;-6.4;411;709.7;85.1;160;61.3;24;9.7;78;7.7
SAE;201201;2.8;56;748.7;-0.1;-15.4;-7.7;192;548.4;79.7;420;80.0;29;8.5;72;2.6
SAE;201202;2.1;119;747.3;3.5;-26.5;-11.5;61;121.7;73.3;557;144.3;48;8.1;58;3.4
SAE;201203;3.0;194;755.9;7.4;-14.5;-2.8;57;63.2;63.7;581;255.6;71;5.5;42;2.7
SAE;201204;3.7;215;741.2;8.4;-15.1;-3.7;79;133.4;81.9;575;114.8;29;6.0;83;17.4
SAE;201205;5.6;236;752.2;11.7;-10.2;1.3;35;172.2;82.4;490;173.2;39;4.8;72;6.6
SAE;201206;7.6;251;754.3;17.4;-2.9;5.4;26;384.7;85.2;324;165.3;36;5.8;75;28.5
SAE;201207;8.0;210;756.0;16.4;-2.1;5.9;2;157.2;86.9;75;122.2;27;5.5;78;29.5
SAE;201208;8.1;225;758.4;18.5;-2.3;8.4;28;281.0;75.5;0;203.3;48;4.3;63;4.1
SAE;201209;6.1;183;754.3;13.9;-6.0;4.5;9;204.7;73.8;3;197.5;55;5.4;65;3.0
SAE;201210;4.7;117;749.7;13.4;-15.0;1.9;28;264.2;69.1;3;176.7;53;6.0;61;2.3
