"name";"nat_abbr";"wmo_ind";"chx";"chy";"lon";"lat";"height";"climate.region";"climate.region.nr";"first.year.daily.obs";"last.year.daily.obs";"nr.years.daily.obs.in.standard.per";"nr.na.years.daily.obs.in.standard.per";"first.year.hourly.obs";"last.year.hourly.obs";"nr.years.hourly.obs";"nr.na.years.hourly.obs";"has.hourly.data"
"Grosshöchstetten";"GHS";NA;2616015.153;1194884.935;7.64883333333333;46.9048777777778;755;"Zentrales Mittelland";4;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Giswil";"GIH";"6657";2657322.898;1188976.045;8.190225;46.84945;471;"Zentraler Alpennordhang";7;1978;2020;43;0;2010;2020;10;1;FALSE
"Grüningen";"GIN";NA;2698752.856;1236665.805;8.74375277777778;47.2735;535;"Nordöstliches Mittelland";3;1961;2020;59;1;NA;NA;NA;NA;FALSE
"Glarus";"GLA";"6685";2723756.57;1210567.29;9.06696111111111;47.0345861111111;516.62;"Östlicher Alpennordhang";6;1961;2020;60;0;1982;2021;40;0;TRUE
"Göscheneralp";"GOA";NA;2681253.446;1166803.684;8.500025;46.647525;1745;"Zentraler Alpennordhang";7;1970;2020;51;0;2014;2020;7;0;FALSE
"Gösgen";"GOE";"06626";2640422.223;1245949.319;7.97373333333333;47.3631472222222;380.49;"Zentrales Mittelland";4;1989;2020;32;0;1989;2021;33;0;TRUE
"Göschenen";"GOS";"6668";2688477.456;1171925.644;8.59536388888889;46.6926777777778;950.3;"Zentraler Alpennordhang";7;1961;2015;55;0;2016;2020;4;1;FALSE
"Fribourg / Grangeneuve";"GRA";"6625";2575183.764;1180076.402;7.11373611111111;46.7714;650.6;"Westliches Mittelland";5;1961;2020;58;2;2011;2020;9;1;FALSE
"Grächen";"GRC";"6728";2630738.429;1116062.001;7.83682222222222;46.1953138888889;1605;"Wallis";10;1961;2020;60;0;2013;2020;7;1;FALSE
"Grimsel Hospiz";"GRH";"6744";2668583.297;1158214.72;8.33325555555555;46.5716888888889;1980;"Westlicher Alpennordhang";8;1961;2020;60;0;1990;2021;32;0;TRUE
"Grimentz";"GRI";NA;2610767.534;1114288.692;7.57808055555556;46.1799777777778;1512;"Wallis";10;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Grono";"GRO";"6758";2733017.557;1124089.398;9.16375833333333;46.255075;323.52;"Alpensüdseite";12;1961;2020;60;0;2013;2020;8;0;FALSE
"Gryon";"GRY";NA;2571519.594;1125125.269;7.06915;46.2769416666667;1146;"Westlicher Alpennordhang";8;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Col du Grand St-Bernard";"GSB";"6717";2579191.125;1079754.155;7.17068333333333;45.8690916666667;2472;"Alpensüdseite";12;1961;2020;59;1;1982;2021;38;2;TRUE
"Gsteig, Gstaad";"GSG";NA;2587686;1136142;7.27859166666667;46.3765333333333;1196;"Westlicher Alpennordhang";8;1961;2020;60;0;2014;2020;6;1;FALSE
"Gross, SZ";"GSS";NA;2701799.744;1218840.838;8.77998611111111;47.1127305555556;897;"Zentraler Alpennordhang";7;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Guttannen";"GTT";NA;2665296.518;1167600.658;8.29171666666667;46.6564444444444;1055;"Westlicher Alpennordhang";8;1961;2020;60;0;2014;2020;6;1;FALSE
"Gütsch, Andermatt";"GUE";"6750";2690087;1167480;8.61553055555556;46.652475;2286;"Zentraler Alpennordhang";7;1961;2020;60;0;1982;2021;38;2;TRUE
"Guglera";"GUG";NA;2585039.834;1177635.059;7.24285277777778;46.7497333333333;877;"Westlicher Alpennordhang";8;1961;2020;59;1;NA;NA;NA;NA;FALSE
"Güttingen";"GUT";"6621";2738422.628;1273962.163;9.27942777777778;47.6017333333333;440.02;"Nordöstliches Mittelland";3;1978;2020;43;0;1982;2021;40;0;TRUE
