stn,year,precip_annual,cluster_pca_h,precip_cluster_mean
SIA,2009,915.1,4,1226.3666666666668
SIA,2010,933.9,4,1195
SIA,2011,858.1,4,1003.6
SIA,2012,950.2,4,1170.8333333333333
SIA,2013,773.5,4,1120.3333333333333
SIA,2014,1211.4,4,1649.8666666666668
SIA,2015,878.2,4,949.4666666666667
SIA,2016,939.6,4,1103.0666666666666
SIA,2017,944.6,4,1113.3333333333333
SIA,2018,989.5,4,1040
SIA,2019,1219.1,4,1300.7666666666667
SIA,2020,976,4,1102.9333333333334
SIA,2021,943.2,4,1067.3666666666666
SIA,2022,698.1999999999999,4,850.5666666666666
SIA,2023,1096.7,4,1259.4666666666667
SIO,2000,515.8,2,968.6
SIO,2001,649.9,2,1255.1285714285714
SIO,2002,689.7,2,1226.2142857142858
SIO,2003,426.59999999999997,2,771.2
SIO,2004,477,2,987.3142857142857
SIO,2005,499.6,2,844.8285714285714
SIO,2006,604.4,2,1124.7571428571428
SIO,2007,757.4,2,1234.8
SIO,2008,561.3,2,1031.2857142857142
SIO,2009,516,2,895.9285714285714
SIO,2010,480,2,866.8571428571429
SIO,2011,484.5,2,811.5142857142857
SIO,2012,614.7,2,1154.4285714285716
SIO,2013,567.7,2,1066.5857142857142
SIO,2014,529.6999999999999,2,1014.6428571428572
SIO,2015,500.1,2,839.4571428571428
SIO,2016,586.5,2,1106.857142857143
SIO,2017,565.3,2,888.4142857142857
SIO,2018,633.1,2,938.4428571428571
SIO,2019,607.5,2,1003.4571428571429
SIO,2020,545,2,888.9428571428572
SIO,2021,695.7,2,1099.2571428571428
SIO,2022,486.1,2,849.9
SIO,2023,822.1,2,1113.4285714285713
SMA,2000,1156.7,2,968.6
SMA,2001,1482.9,2,1255.1285714285714
SMA,2002,1275.8,2,1226.2142857142858
SMA,2003,859.2,2,771.2
SMA,2004,1071,2,987.3142857142857
SMA,2005,1041.9,2,844.8285714285714
SMA,2006,1134.5,2,1124.7571428571428
SMA,2007,1152.9,2,1234.8
SMA,2008,1212.7,2,1031.2857142857142
SMA,2009,1098.3,2,895.9285714285714
SMA,2010,1001.5,2,866.8571428571429
SMA,2011,913.5,2,811.5142857142857
SMA,2012,1291.7,2,1154.4285714285716
SMA,2013,1093.8,2,1066.5857142857142
SMA,2014,1076.4,2,1014.6428571428572
SMA,2015,918,2,839.4571428571428
SMA,2016,1296.8,2,1106.857142857143
SMA,2017,1106.6,2,888.4142857142857
SMA,2018,897.3,2,938.4428571428571
SMA,2019,1041.2,2,1003.4571428571429
SMA,2020,859.5,2,888.9428571428572
SMA,2021,1126.6,2,1099.2571428571428
SMA,2022,871.9,2,849.9
SMA,2023,1159.6,2,1113.4285714285713
STG,2000,1454.9,3,1307.88
STG,2001,1371.5,3,1416.56
STG,2002,1708.2,3,1539.84
STG,2003,1018.4,3,955.24
STG,2004,1307.6,3,1127.2
STG,2005,1216.8,3,1097.68
STG,2006,1273.7,3,1101
STG,2007,1128.9,3,1154.38
STG,2008,1372.9,3,1227.58
STG,2009,1245.9,3,1083.76
STG,2010,1512.5,3,1296.26
STG,2011,1241.6,3,1171.84
STG,2012,1549.1,3,1429.32
STG,2013,1467.6,3,1214.26
STG,2014,1353.5,3,1294.5
STG,2015,1335.8,3,1154.24
STG,2016,1483.6,3,1365.86
STG,2017,1561,3,1386.84
STG,2018,1259.6,3,1159.18
STG,2019,1469.1,3,1328.66
STG,2020,1539.6,3,1295.72
STG,2021,1624,3,1331.58
STG,2022,1249.4,3,1068.74
STG,2023,1682.4,3,1474.18
